Nome	X	Y
Firenze	1252344,24	5416503,1
Roma	1392783,33	5141329,24
Bologna	1265860,01	5535943,43
Milano	1022900,51	5695080,28
Napoli	1588349,56	4976784,14
Torino	855663,15	5635391,07
Genova	995815,11	5523772,37
Venezia	1370966,38	5690390,47
Bari	1878077,58	5013029,33
Palermo	1487458,07	4606117,51
Verona	1223631,39	5690045,34
Padova	1322097,42	5685714,12
Trieste	1533644,02	5716507,03
Ancona	1504936,31	5400267,36
Pescara	1582343,43	5226165,43
Reggio C.	1742092,13	4605949,11
Messina	1731393,31	4615371,23
Catania	1679007,03	4504105,12
